2025-05-17 14:02:53 | DEBUG   | No ROIs were selected.
2025-05-18 16:31:56 | DEBUG   | No ROIs were selected.
2025-05-18 17:30:49 | DEBUG   | No ROIs were selected.
2025-05-18 17:31:39 | DEBUG   | No ROIs were selected.
2025-05-18 17:32:03 | DEBUG   | No ROIs were selected.
2025-05-18 17:32:10 | DEBUG   | No ROIs were selected.
2025-05-22 20:53:21 | DEBUG   | Failed to process LIF file: 0
2025-05-22 20:54:36 | DEBUG   | Failed to process LIF file: 0
2025-05-22 20:55:11 | DEBUG   | Failed to process LIF file: 0
2025-05-22 20:56:00 | DEBUG   | Failed to process LIF file: 0
2025-05-22 20:57:10 | DEBUG   | Failed to process LIF file: unsupported operand type(s) for /: 'float' and 'str'
2025-05-23 19:48:22 | DEBUG   | No ROIs were selected.
2025-06-07 16:27:13 | DEBUG   | No ROIs were selected.
2025-06-08 16:21:23 | DEBUG   | No ROIs were selected.
2025-06-08 16:31:49 | DEBUG   | No ROIs were selected.
2025-06-08 16:31:59 | DEBUG   | No ROIs were selected.
2025-06-08 17:07:32 | DEBUG   | No ROIs were selected.
2025-06-08 17:22:30 | DEBUG   | No ROIs were selected.
2025-06-08 17:29:14 | DEBUG   | No ROIs were selected.
2025-06-08 17:31:48 | DEBUG   | No ROIs were selected.
2025-06-08 17:35:21 | DEBUG   | No ROIs were selected.
2025-06-08 17:38:07 | DEBUG   | No ROIs were selected.
2025-06-08 17:39:45 | DEBUG   | No ROIs were selected.
2025-06-08 17:39:57 | DEBUG   | No ROIs were selected.
2025-06-08 17:42:49 | DEBUG   | No ROIs were selected.
2025-06-08 17:55:59 | DEBUG   | No ROIs were selected.
